Japanese,English
分,Part
西,West
鉄道,Railway
法,Law
局,Bureau
更に,Further
のみ,only
間,while
山,Mountain
式,formula
島,island
なお,note that
可能,Possible
ドイツ,Germany
代表,representative
使う,use
同じ,same
曲,song
地域,region
作,Work
事,case
版,Plate
取る,take
登場,Appearance
チーム,team
世,world
時間,time
於ける,In
中心,center
大会,Conference
多く,Many
南,South
シリーズ,series
賞,award
北,North
開始,start
フランス,France
一部,part
始める,start
平成,Heisei
知る,know
子,Child
ゲーム,game
道,the way
角,corner
用いる,Use
および,and
館,Mansion
場,Place
体,body
世紀,century
音楽,music
参加,Participation
発表,announcement
記録,record
掛ける,Put on
高い,expensive
利用,use
際,edge
出場,Participation
国際,international
リーグ,league
所属,Affiliation
務める,serve
関係,relationship
考える,think
イギリス,England
生まれる,to be born
入る,come in
度,Every time
州,state
全て,all
明治,Meiji
生,Living
点,point
力,Power
良い,good
だけ,only
王,king
試合,game
得る,obtain
優勝,win
都市,City
含む,include
アルバム,album
込む,In
問題,problem
シーズン,Season
開催,hold
大阪,Osaka
位置,position
監督,directed by
上,Up
主,main
設置,Installation
郡,county
戦争,war
物,thing
艦,Ship
地方,Region
隊,Squad
期,Period
城,castle
にて,At
長,Long
計画,plan
番,Rank
必要,need
出す,put out
一般,Ordinary
変更,change
本,Book
中央,Center
関する,Be involved in
出る,Come out
出演,Appearance
作る,make
基,Base
事業,business
委員,Committee member
バス,bus
市,city
以下,the following
社会,society
教育,education
事件,Case
特に,especially
卒業,graduation
役,Role
当初,Beginning
結果,result
選挙,selection
機関,institution
大きい,big
高等,High
獲得,Acquisition
政府,government
戦う,fight
中国,China
最初,first time
設立,Establishment
置く,put
種,seed
金,Money
建設,construction
派,Faction
続く,Continue
影響,Impact
文化,culture
科,Department
外,Outside
デビュー,debut
台,Stand
情報,information
そして,and
航空,Aviation
村,village
政治,Politics
同様,Same
販売,sale
面,surface
異なる,different
担当,responsible person
最も,most
寺,temple
攻撃,attack
人口,population
ながら,While
及び,as well as
区,Ward
馬,Horse
プロ,Professional
経済,economic
付ける,wear
地区,district
与える,give
それぞれ,Each
年間,Year
水,water
構成,composition
路線,Route
射る,shoot
アメリカ合衆国,united states of america
米,Rice
採用,Recruitment
伴う,Accompany
主義,Principle
上げる,increase
グループ,group
女性,woman
手,hand
システム,system
歴史,history
意味,meaning
一方,on the other hand
